ID,Title,"EFI Areas","EFI Events Categories","Event Categories",Sectors
348,"Love Machine: Spring 2023 EFI Event Season Launch",,,,
22498,"Data for Children Collaborative - Resolutions",,,,
22502,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22506,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22510,"Edinburgh Futures Conversations – Shaping our AI Futures",,,"Love Machine: Spring 2023",
22514,"Edinburgh Futures Conversations – Between Two Waters: A Performance",,,"Love Machine: Spring 2023",
22516,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22519,"Tell Me What You Want, What You Really, Really Want",,,"Love Machine: Spring 2023",
22522,"Living with Robots",,,"Love Machine: Spring 2023",
22525,"A Spy in Your Pocket: A Conversation with Sandrine Rigaud",,,"Love Machine: Spring 2023",
22529,"Reimagining Universities: Speculative Scenarios for Higher Education",,,"Love Machine: Spring 2023",
22536,"LIMBIC: Ego, Elegy, Ecstasy",,,"Love Machine: Spring 2023",
22538,"Robotic Poems: A Writing Workshop with Lillian-Yvonne Bertram",,,"Creative Industries|Love Machine: Spring 2023",
22541,"The Inquisitive Bodymind: Scottish Dance Theatre and Dr Marisa De Andrade",,,"Creative Industries|Love Machine: Spring 2023",
22543,"For the Love of Fashion",,,"Creative Industries|Love Machine: Spring 2023",
22545,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22547,"Rule of the Robots: A Conversation with Martin Ford",,,"Love Machine: Spring 2023|Public Services",
22550,"Post-Internet Pleasure as an Act of Poetics",,,"Love Machine: Spring 2023",
22558,"Building Near Futures in The New Real: A Student Exhibition on AI",,,"Love Machine: Spring 2023",
22562,"Hybrid Humans: Harry Parker and Bertolt Meyer",,,"Love Machine: Spring 2023",
22567,"Hate in the Digital Era: Lilia Giugni and Matthew Williams",,,"Love Machine: Spring 2023",
22571,"Utopia Lab: Futures Dreaming",,,"Love Machine: Spring 2023",
22575,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22576,"It’s All About the Feelings...",,,"Love Machine: Spring 2023",
22580,"AI in Banking: The Case for Customers",,,"Financial Services &amp; FinTech|Love Machine: Spring 2023",
22582,"Galvanised: Big Mind – Collective Behaviour and Collective Intelligence",,,"Love Machine: Spring 2023|Public Services|Tourism &amp; Festivals",
22584,"Technomoral Conversations: Technologically Mediated Intimacy",,,"Love Machine: Spring 2023",
22586,"Speculative Forensics: Machine Learning and the Rise of Vocal Portraiture",,,"Love Machine: Spring 2023",
22589,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22593,"Catharsis In the Age of the Metaverse",,,"Love Machine: Spring 2023",
22599,"Creating Playful Comics Together with AI: A Workshop with Yana Knight",,,"Creative Industries|Love Machine: Spring 2023",
22604,"Antagonistic Sextet: A Performance by Raw Green Rust",,,"Love Machine: Spring 2023",
22608,"The New Real Salon: Exploring the Future of AI and the Arts",,,"Creative Industries|Love Machine: Spring 2023|Tourism &amp; Festivals",
22610,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22612,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22614,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22616,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22618,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
22620,"Edinburgh Futures Institute: Old Royal Infirmary site tour",,,,
23186,"Economics of Financial Technology Conference",,,"Financial Services &amp; FinTech","Financial Services &amp; FinTech"
23436,"The Future of Climate Justice  – Reparation and Equality",,,"First Breath: Autumn 2022",
23439,"Edinburgh Futures Conversations – AMUK",,,"First Breath: Autumn 2022",
23443,"Edinburgh Futures Conversations –  A Watch Party",,,"First Breath: Autumn 2022",
23446,"The Future of Climate Justice - Actions that change systems",,,"First Breath: Autumn 2022",
23449,"Digesting the Futures Conversations",,,"First Breath: Autumn 2022",
23452,"Scottish BPOC Writers Network: First Breath - Artist reflections",,,"First Breath: Autumn 2022",
23455,"His Name is George Floyd",,,"First Breath: Autumn 2022",
23458,"The New Real Salon: Exploring the future of AI and the arts",,,"First Breath: Autumn 2022",
23461,"Soroche: On Heights and Climates",,,"First Breath: Autumn 2022",
23464,"Half-Earth Socialism: Ambitious speculation on possible futures",,,"First Breath: Autumn 2022",
23468,"Utopia Lab",,,"First Breath: Autumn 2022",
23471,"EFI Student Photography Competition: The Future of Climate Justice",,,"First Breath: Autumn 2022",
23474,"What My Body Can/t Remember",,,"First Breath: Autumn 2022",
23480,"Nomad Century: Gaia Vince in conversation with Elizabeth Cripps",,,"First Breath: Autumn 2022",
23483,"Technomoral Conversations: Sustainability and Artificial Intelligence",,,"First Breath: Autumn 2022",
23488,"Writing the Air: A writing masterclass with Anthony Anaxagorou",,,"First Breath: Autumn 2022",
23492,"The Fight for Climate after Covid-19 - A Watch Party",,,"First Breath: Autumn 2022",
23497,"The Fight for Climate after Covid-19: A conversation with Alice C. Hill",,,"First Breath: Autumn 2022",
23501,"An Island of Sound: J. R. Carpenter with Jules Rawlinson",,,"First Breath: Autumn 2022",
24827,"CI Labs 23: FESTIVAL FUTURES",,,"Creative Industries|Tourism &amp; Festivals",
30057,"Text & Data Analysis SUMMER SCHOOL 2023",,,,
40325,,,,,
41724,,,,,
41763,"Speaking Power: Contemporary Poetry and Politics with Jay Gao - Postponed",,,"Power Trip: Autumn 2023",
41770,"New Real Salon: “We Speak For...”",,,"Power Trip: Autumn 2023",
41777,"Building a Global Movement for Self-Managed Abortion",,,"Power Trip: Autumn 2023",
41785,"Emotions at Work with Gabriella Braun",,,"Power Trip: Autumn 2023",
41789,"Technomoral Conversations: The Geopolitics of AI",,,"Power Trip: Autumn 2023","Data &amp; AI ethics"
42249,"Black History Month: Leaning into the Meta-Physics of Liberation ",,,"Power Trip: Autumn 2023",
42305,"Defiant Lives: The History of the Disability Rights Movement ",,,"Power Trip: Autumn 2023",
42313,"Utopia Lab: Futures Dreaming ",,,"Power Trip: Autumn 2023",
42319,"Making Space: Creating a Culture of Listening in Healthcare",,,"Power Trip: Autumn 2023",
42437,"Edinburgh Futures Conversations: The Future of Leadership",,,"Power Trip: Autumn 2023",
42459,"Edinburgh Futures Conversations: A Performance",,,"Power Trip: Autumn 2023",
42464,"Handing Over Control with David Runciman",,,"Power Trip: Autumn 2023",
42466,"Seizing the Means of Computation with Cory Doctorow ",,,"Power Trip: Autumn 2023",
43418,"Artificial Intelligence in Publishing",,,"Creative Industries|Training","Creative Industries"
44331,"Artificial Intelligence in Publishing",,,"Creative Industries|Training","Creative Industries"
44390,"The Violence Prevention Forum: A Dialogical Approach to Multi-Sectoral Engagement to Prevent Violence in South Africa",,,"Public Services|Talk/Discussion","Public Services"
44541,"Test event",,,,
44561,"Human-Centric Finance",,,"Financial Services &amp; FinTech|Talk/Discussion","Financial Services &amp; FinTech"
44569,"AI and Financial Innovation",,,"Financial Services &amp; FinTech|Lecture","Financial Services &amp; FinTech"
44594,"Doors Open Day at South College Street",,,,Community
44624,"Creative Informatics Innovation Showcase 2023",,,"Creative Industries|Exhibition","Creative Industries"
44785,"The Cabaret of Dangerous Ideas",,,Performance,
44791,"Citizens Data Agency Event Series – What mobilises people against Big-Tech?",,,Talk/Discussion,"Data &amp; AI ethics"
44795,"Sounding the Ice Factory",,,Talk/Discussion,
44801,"The sounds of feeling well, feeling cared for",,,Talk/Discussion,
44805,"Music-making beyond the classroom",,,Talk/Discussion,
44810,"FutureGaze: The Future of Creative Inclusion",,,"Creative Industries|Talk/Discussion","Creative Industries"
45211,"Edinburgh Reforms: regulatory frameworks for driving growth and competitiveness",,,"Financial Services &amp; FinTech|Lecture","Financial Services &amp; FinTech"
45254,"Dr Runa Mackay Legacy Lecture | Compassion And Justice: Conversations For Wellbeing Economy",,,Lecture,"Wellbeing economy"
45352,"Speculative Futures Central Scotland #1— Finn Strivens and Eva Oosterlaken",,,Talk/Discussion,
45357,"Digital Justice &amp; Policing 2023",,,Talk/Discussion,
45364,"Digital Scotland 2023",,,Talk/Discussion,
45369,"UK FinTech Symposium 2023",,,Talk/Discussion,
45447,"Conservation and heritage buildings archetype &amp; low-carbon heating approach",,,Workshop,
45569,"CDCS Annual Lecture 2023",,,Lecture,
45648,"Governing the AI Business Model: Platforms All the Way Down?",,,Lecture,"Data &amp; AI ethics"
45885,"Recycling a Hospital with Edinburgh Future’s Institute",,,Talk/Discussion,Community
46951,"Project Deep Dive: Justin Chun-ting Ho",,,Talk/Discussion,
47388,"Quantification of Labour: from the factory to the gig economy",,,Lecture,
47410,"Project Deep Dive: Anja Neundorf",,,Talk/Discussion,"Data &amp; AI ethics"
47438,"Music, Copyright &amp; Generative AI: Social, Ontological &amp; Legal Perspectives",,,Talk/Discussion,"Data &amp; AI ethics"
47478,"Climate Extremes and Decision-making: it's all about the models",,,Lecture,
47482,"AI Safety and AI Ethics: bridging cultures of existential and social risk",,,Lecture,
47527,"A New Sound",,,Performance,
47614,"Protecting the State, Protecting our Homes: governing and designing cybersecurity",,,Lecture,
47617,"Governance for a secure digital world",,,Lecture,
47674,"Compassion &amp; Transforming the Economy: Merging the ‘Why’ and the ‘How’",,,Talk/Discussion,"Wellbeing economy"
47691,"Datafied Publics: Inaugural Event for EFI Critical Data Studies Cluster","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,
47696,"Technomoral Conversations: Who is Responsible for Responsible AI?",,,Talk/Discussion,"Data &amp; AI ethics"
47701,"Using poetry to communicate about research",,,Workshop,
47754,"Project Deep Dive: Sruthi Herbert",,,Talk/Discussion,
47760,"Project Deep Dive: Sal Hagen ",,,Talk/Discussion,
47800,,,,,
47807,"Tech Tuesdays: The Future of Technology in Hospitality, Finance &amp; Payments",,,Talk/Discussion,"Tourism &amp; Festivals"
47979,"Book Launch: Environmental Ethics &amp; Medical Reproduction by Cristina Richie","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,Talk/Discussion,
48162,"Project Deep Dive: David Williamson Shaffer","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society|Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,Talk/Discussion,"Data &amp; AI ethics"
48172,"Book Launch – Tor: From the Dark Web to the Future of Privacy","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,
48197,"CDCS Summer School 2024","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",,,
48634,"Creative Feedback: The Feats and Failures of Technology","Research Clusters>Creativity, AI and the Human",,Performance|Talk/Discussion,
48670,"Imagining AI: computing stories in a museum context","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society",Talk/Discussion,Talk/Discussion,
48702,"Robotics in Hospitality &amp; Tourism: Practical Solutions for Your Business","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Talk/Discussion|Workshop,,
48799,"Edinburgh Futures Institute Guided Tours – Meadows Festival Weekend",,Tour,,Community
48828,"Creative Tech Scotland Gathering 2024",,Conference,"Creative Industries","Creative Industries"
48845,"Liquidity and execution: The resiliency effect on institutional trading costs",,Talk/Discussion,Talk/Discussion,"Financial Services &amp; FinTech"
48905,"Where are AI’s publics?","Research Clusters>Critical Data Studies",Talk/Discussion,Talk/Discussion,"Data &amp; AI ethics"
48954,"Economics of Financial Technology Conference",,,Conference,"Financial Services &amp; FinTech"
48965,"AI as the Broken Machine",,,Symposium,"Data &amp; AI ethics"
48987,"Ethical responsibilities in displaying provocative AI artistic experiences","Research Clusters>Creativity, AI and the Human",Talk/Discussion,Talk/Discussion,"Creative Industries|Data &amp; AI ethics"
48997,"How to Reclaim Our Humanity in the Age of AI",,Talk/Discussion,Talk/Discussion,"Data &amp; AI ethics"
49111,"Designing Data and Innovation Futures to Wear",,,Symposium,"Climate &amp; Sustainability|Data &amp; AI ethics|Financial Services &amp; FinTech"
49174,"The Creative AI Forum",,,Forum,"Creative Industries|Data &amp; AI ethics"
49186,"TikTok: Work, Time, and Play in a Platform Economy",,,Conference,"Data &amp; AI ethics"
49281,"Digital Cultural Heritage at Edinburgh Futures Institute: Research Exchange","Research Clusters>Digital Cultural Heritage",Talk/Discussion,Talk/Discussion,
49534,"Citizens Data Agency Exhibition Opening Event",,,Exhibition,
49666,"Annual Data Conference 2024: Data, Deepfakes and Democracy",,,Conference,"Data &amp; AI ethics"
49683,"AI as a creative companion for academia",,,Workshop,"Data &amp; AI ethics|Tourism &amp; Festivals"
49718,"Practical Utopias: Workshop",,Workshop,"Edinburgh International Book Festival|Workshop",Community
49721,"Recycling a Hospital Writing Workshop: Poetry, Memory and Future Dreaming",,Workshop,"Edinburgh International Book Festival|Workshop",Community
49724,"Words from the Wards: Jennifer Williams",,Talk/Discussion,"Edinburgh International Book Festival|Talk/Discussion|Workshop",Community
49726,"Spirit Case Tour",,,,
49767,"Madhumita Murgia &amp; Georgina Voss: The Systems Which Govern Us","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society|Culture &amp; Community",Talk/Discussion,"Edinburgh International Book Festival|Talk/Discussion",
49770,"Margaret Atwood: Practical Utopias – An Exploration of the Possible","Culture &amp; Community",Talk/Discussion,"Edinburgh International Book Festival|Talk/Discussion",
49856,"James Crawford: Traces of the Past",,,"Edinburgh International Book Festival|Talk/Discussion",
49931,"Page Against the Machine: Writing in the Age of Artificial Intelligence",,,"Edinburgh International Book Festival|Performance",
49984,"A Conversation about the Edinburgh Conversations",,Talk/Discussion,Talk/Discussion,
50006,,,,,
50008,,,,,
50009,,,,,
50019,"The Digital Museum Conference",,Conference,Conference,"Creative Industries|Data &amp; AI ethics"
50087,"Jeanette Winterson in Conversation with Ameca",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50090,"Literature is not a Luxury with Bernardine Evaristo",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50092,"Rooting Decolonial Education: Routes for Repair and Liberation",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",Education
50094,"AISOMA: Wayne McGregor x Edinburgh Futures Institute",,Performance,"Learning Curves: Autumn 2024|Performance",Education
50096,"The Future of Education: Crisis",,Talk/Discussion,"Edinburgh Futures Conversations|Learning Curves: Autumn 2024|Talk/Discussion",
50098,"The Future of Education: Utopia",,Talk/Discussion,"Edinburgh Futures Conversations|Learning Curves: Autumn 2024|Talk/Discussion",
50100,"Ex Silens: from the series ‘I Am Your Body’",,Performance,"Learning Curves: Autumn 2024|Performance",
50104,"The Future of AI at School",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50109,"Unco: LGBT+ Scots Glossar",,Performance,"Learning Curves: Autumn 2024|Performance",
50116,"The Future of Education: AI",,Talk/Discussion,"Edinburgh Futures Conversations|Learning Curves: Autumn 2024|Talk/Discussion",
50125,"Future Library and Futures Literacy: Making Futures from Where We Are",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50131,"Technomoral Conversations: What the Majority World Can Teach Us about AI",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",
50134,"Utopia Lab: Seats at the Table exhibition",,,"Exhibition|Learning Curves: Autumn 2024",
50144,"Contesting Computing: Imagining Feminist Technofutures",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",Education
50155,"Entanglements: Studies in falling, flowing, following",,Performance,"Learning Curves: Autumn 2024|Performance",Education
50184,"Entangled Performing with Karen Christopher",,Workshop,"Learning Curves: Autumn 2024|Workshop",
50187,"Entangled Singing with Rhubaba Choir",,Workshop,"Learning Curves: Autumn 2024|Workshop",
50193,"Video Games: Play and Pedagogy",,Talk/Discussion,"Learning Curves: Autumn 2024|Talk/Discussion",Education
50286,"Niranthea: A Portrait of Multiplicity in Five Episodes",,,"Exhibition|Learning Curves: Autumn 2024",
50305,"Utopia Lab: Seats at the Table",,Workshop,"Learning Curves: Autumn 2024|Workshop",
50555,"Tech Tuesdays #3: Automation - Your New Business Partner","Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",Talk/Discussion,"Talk/Discussion|Tourism &amp; Festivals","Tourism &amp; Festivals"
